,Type,gender,age,height,weight,EER[kcal],P target(15%)[g],F target(25%)[g],C target(60%)[g],number of dishes,E[kcal],P[g],F[g],C[g],Salt[g],Vegetables[g],Score(1:worst 2:bad 3:good 4:best)
708,lunch,male,40,172,65,2582,97,72,387,1,422,22.0,31.8,8.1,2.7,0,1
709,lunch,male,62,165,57,2544,95,71,382,4,813,37.0,45.0,57.6,1.8,27,2
710,breakfast,male,47,173,76,2376,89,66,356,2,411,13.3,10.8,66.5,1.8,189,2
711,breakfast,male,39,173,58,2105,79,58,316,3,325,7.0,10.9,51.6,1.0,0,1
712,breakfast,female,26,159,51,2042,77,57,306,2,608,28.3,36.5,42.5,2.4,54,2
713,dinner,male,39,173,58,2105,79,58,316,3,625,23.3,12.3,101.1,5.6,6,2
714,dinner,female,26,159,51,2042,77,57,306,1,499,21.5,11.4,73.1,5.2,31,2
715,breakfast,female,39,158,51,1940,73,54,291,2,214,9.3,4.5,33.7,0.7,0,1
716,dinner,female,39,158,51,1940,73,54,291,3,491,17.5,8.8,82.9,2.6,238,4
717,lunch,female,39,158,51,1940,73,54,291,6,261,7.9,8.4,37.0,1.5,32,2
718,breakfast,male,62,165,57,2544,95,71,382,5,464,14.0,8.4,84.0,1.4,0,2
719,breakfast,male,61,160,60,2026,76,56,304,3,267,8.9,5.2,48.4,0.7,0,2
720,dinner,male,62,165,57,2544,95,71,382,3,1060,27.7,32.1,158.4,3.5,255,4
721,lunch,male,62,165,57,2544,95,71,382,5,644,41.2,19.1,71.0,3.5,56,2
722,dinner,male,61,160,60,2026,76,56,304,3,704,30.7,20.7,94.7,4.9,167,3
723,dinner,male,47,173,76,2376,89,66,356,2,629,21.0,37.2,53.2,2.9,20,2
724,dinner,female,35,160,48,1923,72,53,288,5,682,23.8,38.0,36.2,4.0,252,2
725,lunch,female,35,160,48,1923,72,53,288,4,794,19.3,38.4,92.2,4.3,269,3
726,lunch,female,35,160,48,1923,72,53,288,1,563,22.5,20.3,67.9,2.2,125,2
727,breakfast,female,35,160,48,1923,72,53,288,3,332,9.4,5.2,61.9,1.1,0,1
728,lunch,female,26,159,51,2042,77,57,306,3,529,8.4,15.0,87.7,0.6,0,1
729,lunch,male,47,173,76,2376,89,66,356,3,1967,94.0,128.1,92.4,12.3,5,1
730,lunch,male,61,160,60,2026,76,56,304,2,455,15.2,25.5,40.3,2.3,33,2
731,lunch,male,39,173,58,2105,79,58,316,2,908,30.6,32.4,116.7,4.8,52,2
732,breakfast,female,26,159,51,2042,77,57,306,2,372,16.7,17.3,36.0,1.5,9,2
733,lunch,male,33,167,70,2674,100,74,401,1,467,21.2,9.7,69.3,5.1,31,2
734,dinner,male,33,167,70,2674,100,74,401,2,813,35.9,27.0,100.1,3.9,49,2
735,breakfast,male,39,173,58,2105,79,58,316,2,218,6.0,2.7,42.4,0.8,0,1
736,breakfast,male,47,173,76,2376,89,66,356,2,628,23.0,40.0,42.7,3.0,20,2
737,dinner,male,39,173,58,2105,79,58,316,3,658,42.3,5.0,107.5,5.4,46,2
738,breakfast,female,39,158,51,1940,73,54,291,3,267,9.7,4.7,48.2,0.7,0,1
739,dinner,female,39,158,51,1940,73,54,291,1,160,5.1,0.5,33.6,1.1,181,1
740,lunch,female,39,158,51,1940,73,54,291,6,485,13.5,21.7,56.3,2.3,50,2
