Date,Open,High,Low,Close,Volume
3/27/2017,541.283,576.24,517.472,546.399,0
3/28/2017,545.116,600.683,530.038,574.833,0
3/29/2017,574.765,608.396,549.186,583.963,0
3/30/2017,584.729,643.92,561.22,615.561,0
3/31/2017,611.272,682.309,577.487,648.542,0
4/1/2017,656.285,685.657,630.88,665.239,0
4/2/2017,665.109,764.839,622.284,712.784,0
4/3/2017,712.157,759.26,627.284,677.048,0
4/4/2017,677.122,715.823,637.33,684.378,0
4/5/2017,684.695,727.149,662.266,695.51,0
4/6/2017,695.959,727.796,647.974,689.074,0
4/7/2017,687.927,709.295,658.023,681.424,0
4/8/2017,679.403,716.867,669.544,700.37,0
4/9/2017,700.448,721.022,672.123,689.736,0
4/10/2017,690.465,710.667,670.68,693.992,0
4/11/2017,694.324,724.372,679.387,703.565,0
4/12/2017,703.583,745.498,691.334,733.515,0
4/13/2017,733.905,781.897,710.926,745.962,0
4/14/2017,745.682,763.907,709.557,732.517,0
4/15/2017,732.093,796.035,723.301,766.683,0
4/16/2017,766.596,793.237,744.352,766.182,0
4/17/2017,764.844,791.82,745.555,771.327,0
4/18/2017,771.271,811.921,756.327,793.036,0
4/19/2017,793.324,827.754,763.214,787.113,0
4/20/2017,786.829,818.406,756.796,786.376,0
4/21/2017,785.227,815.375,764.757,794.271,0
4/22/2017,795.085,817.869,774.468,801.08,0
4/23/2017,800.526,821.441,775.747,795.915,0
4/24/2017,797.729,846.564,787.568,833.388,0
4/25/2017,833.407,867.256,815.357,840.768,0
4/26/2017,840.816,894.85,826.862,869.788,0
4/27/2017,870.14,943.216,843.08,915.389,0
4/28/2017,915.404,981.947,891.189,963.019,0
4/29/2017,966.965,1047.3,948.611,1016.23,0
4/30/2017,1016.24,1091.73,994.006,1063.7,0
5/1/2017,1066.86,1142.68,1007.07,1066.81,0
5/2/2017,1067.1,1113.77,1021.39,1073.49,0
5/3/2017,1072.93,1140.36,1050.09,1122.38,0
5/4/2017,1125.14,1278.63,1113.11,1228.91,0
5/5/2017,1231.59,1374.43,1204.63,1272.82,0
5/6/2017,1275.47,1350.57,1242.95,1327.79,0
5/7/2017,1328.35,1481.51,1280.16,1413.32,0
5/8/2017,1416.79,1639.31,1345.11,1530.04,0
5/9/2017,1533.68,1633.3,1309.22,1448.17,0
5/10/2017,1448.98,1579.71,1392.94,1500.18,0
5/11/2017,1499.95,1596.85,1423.87,1508,0
5/12/2017,1507.26,1603.8,1420.92,1491.93,0
5/13/2017,1491.32,1574.35,1406.57,1533.06,0
5/14/2017,1533.38,1601.47,1501.72,1562.25,0
5/15/2017,1562.58,1652,1473.17,1574.54,0
5/16/2017,1572.32,1717.4,1499.99,1636.83,0
5/17/2017,1636.03,1881.93,1535.83,1797.27,0
5/18/2017,1790.45,2019.16,1678.47,1906.6,0
5/19/2017,1904.23,2147.54,1789.14,2003.22,0
5/20/2017,2003.7,2238.2,1937.44,2150.86,0
5/21/2017,2150.3,2456.85,2073.96,2321.11,0
5/22/2017,2323.77,2719.78,2103.73,2406.2,0
5/23/2017,2398.14,2774.71,2340.3,2669.18,0
5/24/2017,2674.05,3069.86,2490.7,2692.99,0
5/25/2017,2687.18,2959.84,2301.25,2380.41,0
5/26/2017,2380.24,2808.54,2082.41,2238.21,0
5/27/2017,2227.22,2386.43,1671.05,2117.87,0
5/28/2017,2133.57,2425.94,2044.5,2259.21,0
5/29/2017,2253.87,2468.98,2160.98,2391.27,0
5/30/2017,2394.42,2631.43,2252.85,2418.66,0
5/31/2017,2428.72,2617.94,2300.2,2528.61,0
6/1/2017,2569.62,2809.16,2513.25,2698.6,0
6/2/2017,2699.04,2890.12,2636.17,2828.14,0
6/3/2017,2829.31,2972.99,2698.59,2837.33,0
6/4/2017,2846.49,2985.15,2739.04,2902.26,0
6/5/2017,2903.25,3149.58,2868.88,3100.9,0
6/6/2017,3104.8,3434.21,2981.91,3306.1,0
6/7/2017,3305.06,3520.84,3104.32,3196.76,0
6/8/2017,3201.5,3398.51,3112.72,3343.92,0
6/9/2017,3345.78,3569.03,3289.01,3454.82,0
6/10/2017,3473.32,3768.26,3293.66,3561.54,0
6/11/2017,3559.78,3820.73,3396.89,3692.89,0
6/12/2017,3691.7,3923.25,3192.38,3491.91,0
6/13/2017,3484.34,3771.76,3405.96,3659.3,0
6/14/2017,3660.52,3812.24,3204.17,3356.8,0
6/15/2017,3352.07,3420.09,2846.97,3314.75,0
6/16/2017,3314.95,3472.77,3170.59,3419.32,0
6/17/2017,3417.88,3687.19,3355.49,3609.74,0
6/18/2017,3609.95,3726.19,3449.47,3562.18,0
6/19/2017,3563.82,3888.48,3524.17,3756.66,0
6/20/2017,3757.48,3970.04,3555.75,3735.67,0
6/21/2017,3731.32,3865.38,3470.18,3640.14,0
6/22/2017,3646.15,3777.74,3537.81,3682.28,0
6/23/2017,3680.33,3898.07,3605.5,3799.72,0
6/24/2017,3796.95,3879.93,3559.69,3622.04,0
6/25/2017,3616.2,3726.24,3314.68,3460.92,0
6/26/2017,3460.57,3552.41,2886.87,3202.98,0
6/27/2017,3212.11,3365.76,2827.15,3330.09,0
6/28/2017,3343.88,3555.82,3189.06,3497.93,0
6/29/2017,3492.97,3538.8,3275.67,3332.48,0
6/30/2017,3332.31,3435.45,3197.21,3250.32,0
7/1/2017,3247.05,3326.98,3007.45,3078.35,0
7/2/2017,3076.26,3232.18,2934.53,3172.72,0
7/3/2017,3164.95,3320.74,3079.12,3236.91,0
7/4/2017,3232.21,3413.78,3181.96,3290.92,0
7/5/2017,3289.27,3369.1,3151.24,3273.32,0
7/6/2017,3275.51,3362.2,3171.87,3254.97,0
7/7/2017,3256.33,3350.72,2899.95,2936.51,0
7/8/2017,2936.2,3099.69,2770.57,3030.14,0
7/9/2017,3033.31,3117.92,2875.53,2886.84,0
7/10/2017,2893.17,2925.08,2357.92,2506.61,0
7/11/2017,2484.53,2585.47,2203.23,2360.72,0
7/12/2017,2352.55,2699.61,2251.41,2674.16,0
7/13/2017,2684.48,2772.57,2430.39,2522.33,0
7/14/2017,2521.96,2537.89,2248.05,2348.48,0
7/15/2017,2348.57,2359.65,2045.52,2082.78,0
7/16/2017,2074.46,2150.09,1756.66,1973.39,0
7/17/2017,1983.09,2378.7,1957.67,2358.62,0
7/18/2017,2367.7,2699.94,2234.66,2535.01,0
7/19/2017,2539.49,2635.52,2288.16,2341.07,0
7/20/2017,2352.8,2852.15,2344.06,2767.38,0
7/21/2017,2781.39,2882.28,2631.68,2716.05,0
7/22/2017,2715.99,3011.22,2697.09,2957.05,0
7/23/2017,2957.78,3025.32,2731.64,2860.44,0
7/24/2017,2860.7,2954.2,2772.09,2887.05,0
7/25/2017,2889.93,2923.25,2479.21,2608.54,0
7/26/2017,2609.88,2688.88,2454.89,2593.58,0
7/27/2017,2604.82,2706.57,2557.06,2651.48,0
7/28/2017,2655.73,2742.35,2500.24,2600.8,0
7/29/2017,2595.63,2678.75,2445.25,2633.37,0
7/30/2017,2634.32,2670.03,2502.42,2556.33,0
7/31/2017,2556.77,2659.88,2486.39,2618.43,0
8/1/2017,2599.1,2816.71,2497.18,2727.45,0
8/2/2017,2728.73,2848.56,2640.02,2744.08,0
8/3/2017,2747.61,2904.79,2708.05,2854.08,0
8/4/2017,2857.49,2973.61,2786.29,2895.14,0
8/5/2017,2896.08,3247.19,2859.2,3178.56,0
8/6/2017,3181.08,3316.14,3071.75,3172.66,0
8/7/2017,3169.11,3376.68,3085.5,3293.27,0
8/8/2017,3292.53,3530.92,3205.91,3438.41,0
8/9/2017,3439.4,3557.39,3245.83,3407.75,0
8/10/2017,3406.74,3640.26,3298.07,3471.12,0
8/11/2017,3468.04,3717.83,3351.47,3604.5,0
8/12/2017,3603.4,3801.2,3456.41,3639.88,0
8/13/2017,3637.7,3869.74,3417.48,3639.85,0
8/14/2017,3647.2,3866.93,3497.48,3721.84,0
8/15/2017,3724,3845.88,3368.27,3647.27,0
8/16/2017,3649.49,3865.42,3517.51,3775.65,0
8/17/2017,3775.7,3887.75,3600.99,3677.03,0
8/18/2017,3671.52,3792.16,3374.61,3548.02,0
8/19/2017,3545.5,3799.94,3350.86,3671.05,0
8/20/2017,3658.72,3884.47,3558.87,3735.74,0
8/21/2017,3719.82,4025.28,3535.06,3758.55,0
